,Phy Data
569,0.9581
570,1.50808
571,2.53252
572,2.03292
573,1.7080000000000002
574,1.55786
575,1.7913
576,2.13288
577,1.42458
578,1.64969
579,1.81634
580,1.09138
581,1.50808
582,1.71638
583,1.73299
584,1.13303
585,1.09971
586,1.8163400000000005
587,1.27464
588,1.93291
589,1.86632
590,1.6913399999999998
591,2.29928
592,2.2911
593,1.73299
594,1.89101
595,2.0412
596,1.84966
597,2.5327200000000003
598,1.81629
599,2.72411
600,1.48294
601,2.47436
602,1.8746
603,1.60804
604,1.71613
605,1.76636
606,1.50808
607,1.83295
608,1.68301
609,1.7080000000000002
610,1.73299
611,2.041
612,1.60804
613,2.12435
614,1.64969
615,1.84961
616,1.73299
617,1.71638
618,1.80801
619,1.73304
620,1.9163
621,3.08225
622,2.83235
623,2.9158500000000003
624,2.46603
625,2.04125
626,1.89126
627,1.11642
628,1.65787
629,2.21593
630,2.4077200000000003
631,2.79923
632,1.23299
633,1.74965
634,1.93291
635,2.15782
636,2.42423
637,1.09138
638,1.89126
639,1.60784
640,1.63303
641,1.68301
642,2.49087
643,1.59138
644,1.33295
645,1.1164199999999995
646,2.29943
647,1.98289
648,1.19972
649,1.66635
650,1.47456
651,1.10804
652,1.90792
653,1.2080000000000002
654,1.77444
655,1.83295
656,2.47436
657,2.79923
658,2.38253
659,2.2911
660,2.31614
661,1.7913
662,1.76631
663,2.07452
664,1.7913
665,2.19952
666,1.89964
667,1.74965
668,1.7080000000000002
669,1.6913399999999998
670,1.18301
671,1.7913
672,1.23299
673,1.7913
674,2.35754
675,1.65782
676,1.6913399999999998
677,2.24945
678,2.21618
679,1.6913399999999998
680,1.10804
681,1.59971
682,1.6913399999999998
683,1.68301
684,1.8746
685,1.81609
686,1.6913399999999998
687,1.7080000000000002
688,1.17468
689,1.27464
690,1.6913399999999998
691,1.64969
692,2.06619
693,2.8823800000000004
694,1.83295
695,2.1826600000000003
696,1.87465
697,1.68301
698,1.3995900000000003
699,2.17453
700,2.38283
701,2.03292
702,2.03292
703,2.14121
704,1.49142
705,1.50808
706,1.6913399999999998
707,1.59138
708,1.81634
709,1.94129
710,1.04973
711,1.31629
712,0.99142
713,1.0330700000000002
714,1.7913
715,1.59138
716,1.63303
717,2.27469
718,1.64136
719,2.36592
720,1.53307
721,2.51586
722,1.59138
723,0.94977
724,1.63303
725,2.03292
726,1.71638
727,1.74112
728,1.94129
729,1.69947
730,2.44922
731,2.11617
732,2.25763
733,1.74965
734,2.64096
735,3.0408
736,1.0330700000000002
737,1.59971
738,2.04125
739,1.48309
740,2.09143
741,1.81634
742,1.73299
743,1.68301
744,1.59138
745,1.6830599999999998
746,1.60804
747,1.04973
748,2.43256
749,1.17468
750,1.84128
751,1.69967
752,1.81634
753,1.68301
754,1.89959
755,1.74132
756,1.6913399999999998
757,1.1247
758,1.13303
759,1.85794
760,1.19134
761,1.00808
762,1.80796
763,2.38283
764,1.59138
765,1.2913
766,2.03287
767,1.76636
768,1.82462
769,1.7913
770,1.2913
771,1.6913399999999998
772,1.8746
773,1.6913399999999998
774,1.61637
775,1.2913
776,1.6913399999999998
777,1.92458
778,2.04953
779,2.00788
780,1.23299
781,1.73304
782,1.7913
783,1.9079200000000005
784,1.74965
785,1.97456
786,1.63303
787,2.30776
788,2.02454
789,2.07452
790,1.59118
791,2.16615
792,1.76636
793,2.09951
794,1.6913399999999998
795,1.73299
796,1.89964
797,2.03292
798,2.26596
799,1.71638
800,2.21638
801,2.3745
802,1.0330700000000002
803,2.21638
804,2.45795
805,1.75798
806,1.89964
807,1.81634
808,1.96608
809,1.04973
810,1.98294
811,2.59123
812,1.59138
813,1.98294
814,1.23299
815,2.35799
816,0.90812
817,2.53292
818,1.81634
819,1.81634
820,1.71638
821,1.53307
822,1.71638
823,1.81634
824,1.89964
