,T_Phy Data [ms],T_Phy Ctrl [ms],Phy Layer Delay
522,0.40817,1.23319,1.74965
523,0.40817000000000003,1.23319,1.7080000000000002
524,0.34986,1.23319,1.6913399999999998
525,0.34153,0.7415200000000001,1.18301
526,0.44982,1.23319,1.7913
527,0.39151,0.73319,1.23299
528,0.44982,1.23319,1.7913
529,0.69972,1.24132,2.35754
530,0.69972,0.7415200000000001,1.65782
531,0.79135,1.2498500000000001,2.24945
532,0.53312,1.38318,2.21618
533,0.34986,1.23319,1.6913399999999998
534,0.30821,0.73319,1.10804
535,0.29988000000000004,1.23319,1.59971
536,0.34986,1.23319,1.6913399999999998
537,0.34153,1.23319,1.68301
538,0.53312,1.23319,1.8746
539,0.39151,1.31629,1.81609
540,0.34986,1.23319,1.6913399999999998
541,0.40817000000000003,1.23319,1.7080000000000002
542,0.3332,0.73319,1.17468
543,0.43316,0.73319,1.27464
544,0.34986,1.23319,1.6913399999999998
545,0.9829400000000001,1.2496500000000001,2.83235
546,0.20825000000000002,1.90777,2.1826600000000003
547,0.44982,1.35819,1.87465
548,0.34153,1.23319,1.68301
549,0.36652,0.74985,1.3995900000000003
550,0.59143,1.3748500000000001,2.17453
551,1.5410499999999998,0.8081600000000001,3.36547
552,0.8163400000000001,1.25818,2.46603
553,0.45815,1.36652,2.04125
554,0.5497799999999999,1.23319,1.89126
555,0.9163,1.84128,3.19074
556,0.79135,0.7748400000000001,2.21593
557,0.64141,1.26651,2.4077200000000003
558,0.8746499999999999,1.27484,2.79923
559,0.39151,0.73319,1.23299
560,0.59143,1.23319,1.93291
561,0.69972,1.24152,2.15782
562,0.72471,1.23319,2.06619
563,0.48314,1.95775,2.8823800000000004
564,0.3581899999999999,1.36652,1.89964
565,0.1666,1.85819,2.09143
566,0.34986,1.35819,1.81634
567,0.34153,1.23319,1.68301
568,0.2499,1.23319,1.59138
569,0.28322,1.35819,1.6830599999999998
570,0.3332,1.23319,1.60804
571,0.2498999999999999,0.73319,1.04973
572,0.35819,1.90777,2.43256
573,0.3332,0.73319,1.17468
574,0.4997999999999999,1.23319,1.84128
575,0.39984,1.23319,1.69967
576,0.34153,1.23319,1.68301
577,0.3915099999999999,1.25818,1.89959
578,0.39984,1.23319,1.74132
579,0.34986,1.23319,1.6913399999999998
580,0.2832199999999999,0.7415200000000001,1.1247
581,0.39983999999999986,1.24152,1.85794
582,0.34986,0.73319,1.19134
583,0.20825000000000002,0.73319,1.00808
584,0.34986,1.2498500000000001,1.80796
585,0.34153,1.93301,2.38283
586,0.2499,1.23319,1.59138
587,0.44982,0.73319,1.2913
588,0.29988000000000004,1.35819,1.76636
589,0.48314,1.23319,1.82462
590,0.44982,1.23319,1.7913
591,0.44982,0.73319,1.2913
592,0.34986,1.23319,1.6913399999999998
593,0.45815000000000006,1.24152,1.8746
594,0.34986,1.23319,1.6913399999999998
595,0.34153,1.23319,1.61637
596,0.44982,0.73319,1.2913
597,0.34986,1.23319,1.6913399999999998
598,0.50813,1.24152,1.92458
599,0.59143,1.24152,2.04953
600,0.5497799999999999,1.24152,2.00788
601,0.39151,0.73319,1.23299
602,0.30821,1.35819,1.73304
603,0.44982,1.23319,1.7913
604,0.6080900000000001,1.23319,1.9079200000000005
605,0.40817,1.23319,1.74965
606,0.5164599999999999,1.24152,1.97456
607,0.29154999999999986,1.23319,1.63303
608,0.5831,1.2831700000000001,2.30776
