,T_UL Total [ms],Num Codeblocks
96,0.8664700000000001,13.0
97,1.54145,10.0
98,0.96643,22.0
99,1.36647,13.0
100,1.36647,13.0
101,1.40812,17.0
102,1.36647,13.0
103,0.96643,22.0
104,1.5663900000000002,24.0
105,1.36647,14.0
106,1.50808,28.0
107,1.59143,23.0
108,1.54145,12.0
109,1.49147,10.0
110,1.52474,24.0
111,1.44977,23.0
112,0.90812,13.0
113,1.49147,12.0
114,1.36647,15.0
115,1.54145,10.0
116,1.40812,19.0
117,1.59143,11.0
118,1.36647,13.0
119,1.54973,30.0
120,1.5663900000000002,19.0
121,0.94977,15.0
122,1.36647,10.0
123,1.49147,8.0
124,1.49147,8.0
125,0.8664700000000001,10.0
126,1.49147,8.0
127,1.54145,9.0
128,1.52474,18.0
129,1.09138,30.0
130,1.6247,27.0
131,0.8664700000000001,11.0
132,1.46643,22.0
133,1.54973,22.0
134,0.90812,17.0
135,1.49147,10.0
136,0.90812,12.0
137,1.63308,21.0
138,1.00808,19.0
139,1.00808,19.0
140,1.52474,18.0
141,1.5497800000000002,11.0
142,1.45795,9.0
143,1.46643,15.0
144,1.68306,25.0
145,0.90812,9.0
146,1.46643,16.0
147,1.46643,16.0
148,1.46643,15.0
149,2.02439,13.0
150,1.19134,33.0
151,1.46643,15.0
152,1.5663900000000002,21.0
153,1.10804,35.0
154,1.32482,9.0
155,1.49147,10.0
156,1.40812,17.0
157,1.59143,19.0
158,1.59143,19.0
159,1.02474,20.0
160,1.46643,15.0
161,1.49147,10.0
162,2.0827,19.0
163,1.77469,39.0
164,1.36647,11.0
165,1.40812,12.0
166,1.59143,21.0
167,1.49147,11.0
168,1.46643,16.0
169,1.41645,12.0
170,0.8664700000000001,15.0
171,1.36647,15.0
172,1.60804,33.0
173,1.51641,23.0
174,0.96643,26.0
175,1.46643,17.0
176,1.49147,12.0
177,1.49147,12.0
178,1.36647,15.0
179,1.5663900000000002,28.0
180,0.96643,26.0
181,1.49147,11.0
182,1.46643,13.0
183,1.52474,18.0
184,1.49147,9.0
185,1.52474,18.0
186,1.46643,20.0
187,1.5663900000000002,24.0
188,1.46643,15.0
189,1.52474,18.0
190,0.96643,15.0
191,1.50808,19.0
192,1.52474,20.0
193,1.52474,13.0
194,2.00788,10.0
195,1.66635,34.0
196,1.98274,8.0
197,1.50808,26.0
198,1.51641,16.0
199,1.4581,10.0
200,1.49147,9.0
201,1.51641,17.0
202,1.36647,10.0
203,1.36647,13.0
204,1.36647,13.0
205,1.51641,19.0
206,1.51641,19.0
207,1.36647,13.0
208,1.36647,11.0
209,1.36647,11.0
210,1.36647,11.0
211,1.36647,13.0
212,1.36647,13.0
213,1.4581,11.0
214,1.61637,30.0
215,0.8664700000000001,13.0
216,2.04145,7.0
217,1.36647,4.0
218,1.94982,6.0
219,1.98274,6.0
220,1.99147,7.0
221,1.99147,7.0
222,1.26651,3.0
223,1.99147,8.0
224,1.49147,8.0
225,1.99147,8.0
226,2.04145,8.0
227,1.49147,8.0
228,1.99147,7.0
229,1.99147,8.0
230,2.0331200000000003,11.0
231,0.8664700000000001,10.0
232,1.36647,10.0
233,1.36647,10.0
234,1.45795,8.0
235,1.36647,10.0
236,0.76651,3.0
237,1.36647,10.0
238,1.36647,11.0
239,1.36647,11.0
