,WB CQI,Mobility
366,13.0,Walking
367,14.0,Walking
368,14.0,Walking
369,13.5,Walking
370,12.333333333333334,Walking
371,13.666666666666666,Walking
372,12.333333333333334,Walking
373,14.0,Walking
374,13.0,Walking
375,14.0,Walking
376,13.714285714285714,Walking
377,13.2,Walking
378,13.0,Walking
379,14.0,Walking
380,14.0,Walking
381,13.5,Walking
382,13.666666666666666,Walking
383,14.0,Walking
384,13.5,Walking
385,14.0,Walking
386,14.0,Walking
387,13.0,Walking
388,14.0,Walking
389,14.0,Walking
390,13.0,Walking
391,14.0,Walking
392,14.0,Walking
393,14.0,Walking
394,14.0,Walking
395,14.0,Walking
396,14.0,Walking
397,14.0,Walking
398,13.0,Walking
399,12.5,Walking
400,13.0,Walking
401,13.117647058823527,Walking
402,13.333333333333334,Walking
403,13.0,Walking
404,12.666666666666666,Walking
405,14.0,Walking
406,14.0,Walking
407,13.0,Walking
408,14.0,Walking
409,14.0,Walking
410,14.0,Walking
411,12.75,Walking
412,13.0,Walking
413,14.0,Walking
414,14.0,Walking
415,13.0,Walking
416,14.0,Walking
417,14.0,Walking
418,13.285714285714286,Walking
419,14.0,Walking
420,13.0,Walking
421,14.0,Walking
422,14.0,Walking
423,13.0,Walking
424,13.0,Walking
425,14.0,Walking
426,14.0,Walking
427,14.0,Walking
428,14.0,Walking
429,13.0,Walking
430,13.0,Walking
431,13.0,Walking
432,13.0,Walking
433,13.0,Walking
434,12.333333333333334,Walking
435,14.0,Walking
436,14.0,Walking
437,14.0,Walking
438,13.666666666666666,Walking
439,14.0,Walking
440,14.0,Walking
441,14.0,Walking
442,14.0,Walking
443,14.0,Walking
444,13.0,Walking
445,14.0,Walking
446,14.0,Walking
447,14.0,Walking
448,14.0,Walking
449,13.0,Walking
450,14.0,Walking
451,13.5,Walking
452,14.0,Walking
453,13.0,Walking
454,14.0,Walking
455,13.0,Walking
456,14.0,Walking
457,13.0,Walking
458,13.5,Walking
459,13.0,Walking
460,14.0,Walking
461,14.0,Walking
462,14.0,Walking
463,13.25,Walking
464,13.857142857142858,Walking
465,14.0,Walking
466,14.0,Walking
467,13.5,Walking
468,14.0,Walking
469,14.0,Walking
470,14.0,Walking
471,14.0,Walking
472,13.5,Walking
473,14.0,Walking
474,12.5,Walking
475,13.0,Walking
476,14.0,Walking
477,14.0,Walking
478,12.5,Walking
