,Phy DataTx,RTT [ms],Payload Bytes
117,0.3915099999999999,17.0,100 bytes
118,0.18326,17.0,100 bytes
119,0.34986,17.0,100 bytes
120,0.40817000000000003,14.0,100 bytes
121,0.24157,17.0,100 bytes
122,0.44982,17.0,100 bytes
123,0.34986,14.0,100 bytes
124,0.29988000000000004,16.0,100 bytes
125,0.2499,17.0,100 bytes
126,0.36651999999999996,16.0,100 bytes
127,0.3332,18.0,100 bytes
128,0.3581899999999999,17.0,100 bytes
129,0.34986,17.0,100 bytes
130,0.35819,17.0,100 bytes
131,0.29988000000000004,17.0,100 bytes
132,0.2498999999999999,16.0,100 bytes
133,0.34986,15.0,100 bytes
134,0.34153,17.0,100 bytes
135,0.52479,17.0,100 bytes
136,0.5164600000000001,16.0,100 bytes
137,0.48314,19.0,100 bytes
