,T_DL Data Plane [ms],T_DL Control Delay [ms]
193,0.10829,0.11662
194,0.10829,0.11662
195,0.04165,0.04998
196,0.21658,0.23324
197,0.10829,0.11662
198,0.04165,0.04998
199,0.09996,0.11662
200,0.10829,0.11662
201,0.10829,0.11662
202,0.09996,0.11662
203,0.10829,0.11662
204,0.21658,0.23324
205,0.10829,0.11662
206,0.10829,0.11662
207,0.28322,0.30821
208,0.06664,0.07497
209,0.21658,0.23324
210,0.21658,0.24157
211,0.28322,0.30821
212,0.10829,0.11662
213,0.06664,0.07497
214,0.04165,0.04998
215,0.10829,0.11662
216,0.21658,0.23324
217,0.21658,0.23324
218,0.10829,0.11662
219,0.10829,0.11662
220,0.10829,0.11662
221,0.10829,0.11662
222,0.10829,0.11662
223,0.17493,0.19159
224,0.17493,0.19159
225,0.10829,0.11662
226,0.21658,0.23324
227,0.10829,0.11662
228,0.21658,0.23324
229,0.10829,0.11662
230,0.10829,0.11662
231,0.21658,0.23324
232,0.10829,0.11662
233,0.17493,0.19159
234,0.10829,0.11662
235,0.2748899999999999,0.3082099999999999
236,0.10829,0.11662
237,0.10829,0.11662
238,0.30821,0.34986
239,0.10829,0.11662
240,0.21658,0.23324
241,0.21658,0.23324
242,0.10829,0.11662
243,0.17493,0.19159
244,0.31654,0.34986
245,0.04165,0.04998
246,0.21658,0.23324
247,0.21658,0.23324
248,0.10829,0.11662
249,0.10829,0.11662
250,0.21658,0.23324
251,0.10829,0.11662
252,0.10829,0.11662
253,0.10829,0.11662
254,0.10829,0.11662
255,0.20825,0.23324
256,0.21658,0.23324
257,0.04165,0.04998
258,0.06664,0.07497
259,0.09996,0.11662
260,0.10829,0.11662
261,0.10829,0.11662
262,0.04165,0.04998
263,0.06664,0.07497
264,0.10829,0.11662
265,0.21658,0.24157
266,0.06664,0.07497
267,0.10829,0.11662
268,0.10829,0.11662
269,0.10829,0.11662
270,0.10829,0.11662
271,0.21658,0.23324
272,0.21658,0.23324
273,0.10829,0.11662
274,0.10829,0.11662
275,0.10829,0.11662
276,0.06664,0.07497
277,0.17493,0.19159
278,0.10829,0.11662
279,0.10829,0.11662
280,0.1666,0.18326
281,0.10829,0.11662
282,0.17493,0.19159
283,0.06664,0.07497
284,0.3331999999999999,0.3748499999999999
285,0.10829,0.11662
286,0.21658,0.24157
287,0.10829,0.11662
288,0.10829,0.11662
289,0.10829,0.11662
290,0.34153,0.38318
291,0.17493,0.19159
292,0.10829,0.11662
293,0.20825,0.23324
294,0.10829,0.11662
