,T_UL Data Plane [ms],T_UL Control Delay [ms],T_UL Total [ms],SR Delay [ms],UL Grant to Ul Data Delay  [ms]
241,0.24157,1.22486,1.46643,0.875,0.34986
242,0.24157,0.7248600000000001,0.96643,0.375,0.34986
243,0.14161,1.34986,1.49147,1.0,0.34986
244,0.24157,1.22486,1.46643,0.875,0.34986
245,0.14161,1.34986,1.49147,1.0,0.34986
246,0.14161,1.34986,1.49147,1.0,0.34986
247,0.24157,1.22486,1.46643,0.875,0.34986
248,0.29988,1.22486,1.52474,0.875,0.34986
249,0.39984,1.22486,1.6247,0.875,0.34986
250,0.19159,1.34986,1.54145,1.0,0.34986
251,0.29988,1.19134,1.49122,0.375,0.8163400000000001
252,0.23324,1.22486,1.4581,0.875,0.34986
253,0.39984,1.22486,1.6247,0.875,0.34986
254,0.29988,1.22486,1.52474,0.875,0.34986
255,0.19159,1.22486,1.41645,0.875,0.34986
256,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
257,0.14161,1.22486,1.36647,0.875,0.34986
258,0.38318,1.22486,1.60804,0.875,0.34986
259,0.29155,1.22486,1.51641,0.875,0.34986
260,0.24157,0.7248600000000001,0.96643,0.375,0.34986
261,0.24157,1.22486,1.46643,0.875,0.34986
262,0.14161,1.34986,1.49147,1.0,0.34986
263,0.14161,1.34986,1.49147,1.0,0.34986
264,0.14161,1.22486,1.36647,0.875,0.34986
265,0.34153,1.22486,1.5663900000000002,0.875,0.34986
266,0.24157,0.7248600000000001,0.96643,0.375,0.34986
267,0.14161,1.34986,1.49147,1.0,0.34986
268,0.32487,1.22486,1.54973,0.875,0.34986
269,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
270,0.14161,1.34986,1.49147,1.0,0.34986
271,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
272,0.28322,1.34986,1.63308,1.0,0.34986
273,0.5831000000000001,1.22486,1.80796,0.875,0.34986
274,0.28322,0.7248600000000001,1.00808,0.375,0.34986
275,0.28322,0.7248600000000001,1.00808,0.375,0.34986
276,0.29988,1.22486,1.52474,0.875,0.34986
277,0.19992,1.34986,1.5497800000000002,1.0,0.34986
278,0.14161,1.31634,1.45795,0.5,0.8163400000000001
279,0.24157,1.22486,1.46643,0.875,0.34986
280,0.3332,1.34986,1.68306,1.0,0.34986
281,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
282,0.24157,1.22486,1.46643,0.875,0.34986
283,0.24157,1.22486,1.46643,0.875,0.34986
284,0.24157,1.22486,1.46643,0.875,0.34986
285,0.14161,1.88278,2.02439,0.5,1.38278
286,0.46648,0.7248600000000001,1.19134,0.375,0.34986
287,0.24157,1.22486,1.46643,0.875,0.34986
288,0.48314,1.22486,1.7080000000000002,0.875,0.34986
289,0.29155,1.34986,1.64141,1.0,0.34986
290,0.24157,1.22486,1.46643,0.875,0.34986
291,0.24157,1.34986,1.59143,1.0,0.34986
292,0.44149,1.22486,1.66635,0.875,0.34986
293,0.14161,1.22486,1.36647,0.875,0.34986
294,0.23324,1.34986,1.5831,1.0,0.34986
295,0.14161,1.22486,1.36647,0.875,0.34986
296,0.23324,1.22486,1.4581,0.875,0.34986
297,0.1832599999999999,1.22486,1.40812,0.875,0.34986
298,0.28322,1.22486,1.50808,0.875,0.34986
299,0.34153,1.88278,2.22431,0.5,1.38278
300,0.34153,1.22486,1.5663900000000002,0.875,0.34986
301,0.42483,1.22486,1.64969,0.875,0.34986
302,0.14161,1.88278,2.02439,0.5,1.38278
303,0.39984,1.22486,1.6247,0.875,0.34986
304,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
305,0.14161,1.22486,1.36647,0.875,0.34986
306,0.19992,1.88278,2.0827,0.5,1.38278
307,0.23324,1.34986,1.5831,1.0,0.34986
308,0.60809,0.7248600000000001,1.33295,0.375,0.34986
309,0.34153,1.22486,1.5663900000000002,0.875,0.34986
310,0.3332,1.34986,1.68306,1.0,0.34986
311,0.28322,1.22486,1.50808,0.875,0.34986
312,0.24157,1.34986,1.59143,1.0,0.34986
313,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
314,0.14161,1.22486,1.36647,0.875,0.34986
315,0.14161,1.34986,1.49147,1.0,0.34986
316,0.28322,1.22486,1.50808,0.875,0.34986
317,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
318,0.23324,0.7248600000000001,0.9581,0.375,0.34986
319,0.34153,1.34986,1.6913900000000002,1.0,0.34986
320,0.32487,0.7248600000000001,1.04973,0.375,0.34986
321,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
322,0.3915099999999999,1.84986,2.24137,1.5,0.34986
323,0.14161,1.84986,1.99147,1.5,0.34986
324,0.14161,1.84986,1.99147,1.5,0.34986
325,0.14161,1.84986,1.99147,1.5,0.34986
326,0.14161,1.84986,1.99147,1.5,0.34986
327,0.1832599999999999,1.34986,1.53312,1.0,0.34986
328,0.14161,1.31634,1.45795,0.5,0.8163400000000001
329,0.3332,1.84986,2.18306,1.5,0.34986
330,0.14161,1.22486,1.36647,0.875,0.34986
331,0.24157,1.84986,2.09143,1.5,0.34986
332,0.04165,0.7248600000000001,0.76651,0.375,0.34986
333,0.42483,1.22486,1.64969,0.875,0.34986
334,0.1832599999999999,1.84986,2.0331200000000003,1.5,0.34986
335,0.23324,1.34986,1.5831,1.0,0.34986
336,0.14161,1.84986,1.99147,1.5,0.34986
337,0.23324,1.22486,1.4581,0.875,0.34986
338,0.09996,1.88278,1.98274,0.5,1.38278
339,0.19159,1.84986,2.04145,1.5,0.34986
340,0.14161,1.84986,1.99147,1.5,0.34986
341,0.14161,1.84986,1.99147,1.5,0.34986
342,0.23324,1.84986,2.0831,1.5,0.34986
343,0.23324,1.84986,2.0831,1.5,0.34986
344,0.23324,0.7248600000000001,0.9581,0.375,0.34986
345,0.14161,1.22486,1.36647,0.875,0.34986
346,0.1832599999999999,1.34986,1.53312,1.0,0.34986
347,0.14161,1.34986,1.49147,1.0,0.34986
348,0.14161,1.84986,1.99147,1.5,0.34986
349,0.1832599999999999,1.34986,1.53312,1.0,0.34986
350,0.1832599999999999,1.22486,1.40812,0.875,0.34986
351,0.23324,1.80796,2.0412,0.875,0.93296
352,0.47481,0.7248600000000001,1.19967,0.375,0.34986
353,0.38318,1.89944,2.28262,0.5,1.39944
354,0.28322,0.7248600000000001,1.00808,0.375,0.34986
355,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
356,0.24157,1.22486,1.46643,0.875,0.34986
357,0.34153,1.22486,1.5663900000000002,0.875,0.34986
358,0.39984,1.22486,1.6247,0.875,0.34986
359,0.24157,0.7248600000000001,0.96643,0.375,0.34986
360,0.24157,0.7248600000000001,0.96643,0.375,0.34986
361,0.34153,1.22486,1.5663900000000002,0.875,0.34986
362,0.14161,1.88278,2.02439,0.5,1.38278
363,0.29988,1.22486,1.52474,0.875,0.34986
364,0.2748899999999999,0.7248600000000001,0.99975,0.375,0.34986
365,0.14161,1.22486,1.36647,0.875,0.34986
366,0.24157,1.19134,1.43291,0.375,0.8163400000000001
367,0.23324,1.34986,1.5831,1.0,0.34986
368,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
369,0.14161,1.22486,1.36647,0.875,0.34986
370,0.24157,1.22486,1.46643,0.875,0.34986
371,0.34153,1.22486,1.5663900000000002,0.875,0.34986
372,0.28322,1.22486,1.50808,0.875,0.34986
373,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
374,0.1832599999999999,1.34986,1.53312,1.0,0.34986
375,0.22491,1.19134,1.41625,0.375,0.8163400000000001
376,0.28322,1.34986,1.63308,1.0,0.34986
377,0.28322,0.7248600000000001,1.00808,0.375,0.34986
378,0.1832599999999999,1.34986,1.53312,1.0,0.34986
379,0.24157,1.22486,1.46643,0.875,0.34986
380,0.44149,1.22486,1.66635,0.875,0.34986
381,0.14161,1.22486,1.36647,0.875,0.34986
382,0.1832599999999999,1.34986,1.53312,1.0,0.34986
383,0.44149,0.7248600000000001,1.16635,0.375,0.34986
384,0.44149,1.22486,1.66635,0.875,0.34986
385,0.14161,1.22486,1.36647,0.875,0.34986
386,0.39984,1.22486,1.6247,0.875,0.34986
387,0.24157,0.7248600000000001,0.96643,0.375,0.34986
388,0.28322,1.22486,1.50808,0.875,0.34986
389,0.24157,1.22486,1.46643,0.875,0.34986
390,0.44149,1.22486,1.66635,0.875,0.34986
391,0.14161,1.22486,1.36647,0.875,0.34986
392,0.24157,1.34986,1.59143,1.0,0.34986
393,0.24157,0.7248600000000001,0.96643,0.375,0.34986
394,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
395,0.28322,1.31634,1.59956,0.5,0.8163400000000001
396,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
397,0.28322,1.22486,1.50808,0.875,0.34986
398,0.24157,0.7248600000000001,0.96643,0.375,0.34986
399,0.6830600000000001,1.22486,1.9079200000000005,0.875,0.34986
400,0.28322,0.7248600000000001,1.00808,0.375,0.34986
401,0.28322,1.22486,1.50808,0.875,0.34986
402,0.38318,1.22486,1.60804,0.875,0.34986
403,0.7247100000000001,1.22486,1.94957,0.875,0.34986
404,0.39984,1.22486,1.6247,0.875,0.34986
405,0.28322,1.34986,1.63308,1.0,0.34986
406,0.29988,1.34986,1.64974,1.0,0.34986
407,0.34153,1.22486,1.5663900000000002,0.875,0.34986
408,0.8746499999999999,1.22486,2.09951,0.875,0.34986
409,0.14161,1.22486,1.36647,0.875,0.34986
410,0.70805,1.22486,1.93291,0.875,0.34986
411,0.3332,1.34986,1.68306,1.0,0.34986
412,0.5831000000000001,1.22486,1.80796,0.875,0.34986
413,0.34153,1.22486,1.5663900000000002,0.875,0.34986
414,0.39984,1.22486,1.6247,0.875,0.34986
415,0.24157,0.7248600000000001,0.96643,0.375,0.34986
416,0.8663200000000001,1.34986,2.21618,1.0,0.34986
417,0.22491,1.22486,1.44977,0.875,0.34986
418,0.50813,1.22486,1.73299,0.875,0.34986
419,0.23324,0.7248600000000001,0.9581,0.375,0.34986
420,0.42483,1.22486,1.64969,0.875,0.34986
421,0.38318,0.7248600000000001,1.10804,0.375,0.34986
422,0.24157,0.7248600000000001,0.96643,0.375,0.34986
423,0.34153,1.22486,1.5663900000000002,0.875,0.34986
424,0.43316,1.34986,1.78302,1.0,0.34986
425,0.53312,0.7248600000000001,1.25798,0.375,0.34986
426,0.48314,0.7248600000000001,1.2080000000000002,0.375,0.34986
427,0.28322,1.22486,1.50808,0.875,0.34986
428,0.28322,1.22486,1.50808,0.875,0.34986
429,0.14161,1.34986,1.49147,1.0,0.34986
430,0.24157,1.34986,1.59143,1.0,0.34986
431,0.43316,0.7248600000000001,1.15802,0.375,0.34986
432,0.1832599999999999,1.34986,1.53312,1.0,0.34986
433,0.09996,1.88278,1.98274,0.5,1.38278
434,0.38318,1.22486,1.60804,0.875,0.34986
435,0.2748899999999999,1.34986,1.62475,1.0,0.34986
436,0.34153,1.34986,1.6913900000000002,1.0,0.34986
437,0.14161,1.88278,2.02439,0.5,1.38278
438,0.24157,0.7248600000000001,0.96643,0.375,0.34986
439,0.24157,1.22486,1.46643,0.875,0.34986
440,0.39984,1.22486,1.6247,0.875,0.34986
441,0.24157,1.22486,1.46643,0.875,0.34986
442,0.3332,1.34986,1.68306,1.0,0.34986
443,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
444,0.09996,1.88278,1.98274,0.5,1.38278
445,0.23324,0.7248600000000001,0.9581,0.375,0.34986
446,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
447,0.32487,1.34986,1.67473,1.0,0.34986
448,0.28322,1.22486,1.50808,0.875,0.34986
449,0.29988,1.22486,1.52474,0.875,0.34986
450,0.3332,1.22486,1.55806,0.875,0.34986
451,0.19992,1.88278,2.0827,0.5,1.38278
452,0.39984,1.22486,1.6247,0.875,0.34986
453,0.22491,1.34986,1.57477,1.0,0.34986
454,0.24157,1.34986,1.59143,1.0,0.34986
455,0.39984,1.22486,1.6247,0.875,0.34986
456,0.14161,1.34986,1.49147,1.0,0.34986
457,0.3332,1.34986,1.68306,1.0,0.34986
458,0.5414500000000001,1.22486,1.7663100000000005,0.875,0.34986
459,0.28322,0.60824,0.89146,0.375,0.23324
460,0.34153,1.22486,1.5663900000000002,0.875,0.34986
461,0.19159,1.34986,1.54145,1.0,0.34986
462,0.38318,1.22486,1.60804,0.875,0.34986
463,0.56644,1.19134,1.75778,0.375,0.8163400000000001
464,0.09996,1.88278,1.98274,0.5,1.38278
465,0.28322,1.22486,1.50808,0.875,0.34986
466,0.39984,1.22486,1.6247,0.875,0.34986
467,0.28322,1.22486,1.50808,0.875,0.34986
468,0.14161,1.34986,1.49147,1.0,0.34986
469,0.23324,1.34986,1.5831,1.0,0.34986
470,0.28322,1.34986,1.63308,1.0,0.34986
471,0.28322,1.22486,1.50808,0.875,0.34986
472,0.34153,1.22486,1.5663900000000002,0.875,0.34986
473,0.14161,1.22486,1.36647,0.875,0.34986
474,0.48314,1.18296,1.6661,0.25,0.93296
475,0.37485,1.22486,1.59971,0.875,0.34986
476,0.2748899999999999,1.34986,1.62475,1.0,0.34986
477,0.53312,1.34986,1.88298,1.0,0.34986
478,0.28322,1.22486,1.50808,0.875,0.34986
479,0.34153,1.88278,2.22431,0.5,1.38278
480,0.5831000000000001,1.22486,1.80796,0.875,0.34986
481,0.50813,0.7248600000000001,1.23299,0.375,0.34986
482,0.1832599999999999,1.22486,1.40812,0.875,0.34986
483,0.23324,1.22486,1.4581,0.875,0.34986
484,0.14161,1.31634,1.45795,0.5,0.8163400000000001
485,0.14161,1.22486,1.36647,0.875,0.34986
486,0.04165,0.73324,0.77489,0.5,0.23324
487,0.34153,1.22486,1.5663900000000002,0.875,0.34986
488,0.31654,1.22486,1.5414,0.875,0.34986
489,0.09996,0.73324,0.8332,0.5,0.23324
490,0.29988,1.22486,1.52474,0.875,0.34986
491,0.38318,0.7248600000000001,1.10804,0.375,0.34986
492,0.24157,0.7248600000000001,0.96643,0.375,0.34986
493,0.1832599999999999,1.22486,1.40812,0.875,0.34986
494,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
495,0.14161,1.19134,1.33295,0.375,0.8163400000000001
496,0.09996,1.92468,2.02464,1.125,0.7996800000000001
497,0.23324,1.34986,1.5831,1.0,0.34986
