,Phy Data
568,1.75803
569,1.83295
570,2.33275
571,1.4581
572,1.98294
573,1.61617
574,1.89126
575,1.59138
576,2.07452
577,1.19134
578,1.73299
579,1.85799
580,1.6913399999999998
581,1.89126
582,1.80796
583,2.04125
584,1.05806
585,1.04973
586,1.81614
587,1.09138
588,1.73299
589,1.05806
590,2.0495300000000007
591,2.29928
592,2.12435
593,1.64969
594,1.84961
595,1.73299
596,1.71638
597,1.80801
598,1.73304
599,1.9163
600,1.73299
601,1.71613
602,1.76636
603,1.50808
604,1.83295
605,1.68301
606,1.7080000000000002
607,2.041
608,2.2911
609,1.73299
610,1.89101
611,2.0412
612,1.84966
613,2.5327200000000003
614,1.81629
615,2.72411
616,1.48294
617,2.47436
618,1.8746
619,1.60804
620,1.60804
621,1.63303
622,1.68301
623,2.49087
624,1.59138
625,1.33295
626,1.1164199999999995
627,2.29943
628,1.98289
629,1.19972
630,1.66635
631,1.47456
632,1.10804
633,1.90792
634,1.2080000000000002
635,1.77444
636,1.6913399999999998
637,1.10804
638,1.59971
639,1.6913399999999998
640,1.68301
641,1.8746
642,1.81609
643,1.6913399999999998
644,1.7080000000000002
645,1.17468
646,1.27464
647,1.6913399999999998
648,2.31614
649,1.7913
650,1.76631
651,2.07452
652,1.7913
653,2.19952
654,1.89964
655,1.74965
656,1.7080000000000002
657,1.6913399999999998
658,1.18301
659,1.7913
660,1.23299
661,1.7913
662,2.35754
663,1.65782
664,1.6913399999999998
665,2.24945
666,2.21618
667,1.68301
668,1.3995900000000003
669,2.17453
670,1.83295
671,2.42423
672,1.64969
673,2.06619
674,2.8823800000000004
675,2.1826600000000003
676,1.87465
677,2.38283
678,2.03292
679,2.03292
680,2.14121
681,1.49142
682,1.50808
683,1.6913399999999998
684,1.59138
685,1.81634
686,1.94129
687,1.04973
688,1.31629
689,0.99142
690,1.0330700000000002
691,1.7913
692,1.59138
693,1.63303
694,2.9158500000000003
695,2.46603
696,2.04125
697,1.89126
698,1.11642
699,1.65787
700,2.21593
701,2.4077200000000003
702,2.79923
703,1.23299
704,1.74965
705,1.93291
706,2.15782
707,1.83295
708,2.47436
709,2.79923
710,2.38253
711,2.2911
712,1.09138
713,1.89126
714,1.60784
715,3.08225
716,2.83235
717,1.0330700000000002
718,1.89964
719,2.03292
720,1.64136
721,1.2913
722,2.03287
723,1.76636
724,1.82462
725,1.7913
726,1.2913
727,1.6913399999999998
728,1.8746
729,1.6913399999999998
730,1.61637
731,1.2913
732,1.6913399999999998
733,1.92458
734,2.04953
735,2.00788
736,1.23299
737,1.73304
738,1.7913
739,1.9079200000000005
740,1.74965
741,1.97456
742,1.63303
743,2.30776
744,2.02454
745,2.07452
746,1.59118
747,2.16615
748,1.76636
749,2.09951
750,1.6913399999999998
751,1.73299
752,2.36592
753,1.53307
754,2.51586
755,1.59138
756,0.94977
757,1.63303
758,2.03292
759,1.71638
760,1.74112
761,1.94129
762,1.69947
763,2.44922
764,2.11617
765,2.25763
766,1.74965
767,2.64096
768,3.0408
769,1.59971
770,2.04125
771,1.48309
772,2.27469
773,2.26596
774,1.71638
775,2.21638
776,2.3745
777,1.0330700000000002
778,2.21638
779,2.45795
780,1.75798
781,1.89964
782,1.81634
783,1.96608
784,1.04973
785,1.98294
786,2.59123
787,1.59138
788,1.98294
789,1.23299
790,2.35799
791,0.90812
792,2.53292
793,1.81634
794,1.81634
795,1.71638
796,1.53307
797,1.71638
798,1.81634
799,1.89964
800,2.09143
801,1.81634
802,1.73299
803,1.68301
804,1.59138
805,1.6830599999999998
806,1.60804
807,1.04973
808,2.43256
809,1.17468
810,1.84128
811,1.69967
812,1.81634
813,1.68301
814,1.89959
815,1.74132
816,1.6913399999999998
817,1.1247
818,1.13303
819,1.85794
820,1.19134
821,1.00808
822,1.80796
823,2.38283
824,1.59138
