,EdgeServer,cdrx Overhead [ms]
208,RG,2.9000899999999987
209,RG,11.10839
210,RG,10.400089999999999
211,RG,3.5334199999999996
212,RG,8.525089999999999
213,RG,2.9000899999999987
214,RG,2.2750899999999987
215,RG,7.867019999999997
216,RG,13.300179999999997
217,RG,3.60839
218,RG,12.275089999999999
219,RG,7.275089999999999
220,RG,2.6835099999999983
221,RG,1.8669200000000004
222,RG,2.2750899999999987
223,RG,3.60839
224,RG,3.60839
225,RG,2.9000899999999987
226,RG,2.9000899999999987
227,RG,15.400089999999999
228,RG,3.5250899999999987
229,RG,7.058509999999998
230,RG,2.2750899999999987
231,RG,2.2750899999999987
232,RG,6.158369999999998
233,RG,11.10839
234,RG,3.5250899999999987
235,RG,3.5250899999999987
236,RG,12.275089999999999
237,RG,2.98339
238,RG,5.8001799999999974
