,Delay [ms],Num ReTx,delayType
165,0.84148,0,$T_{Phy\_Ctrl}$
166,1.99955,0,$T_{Phy\_Ctrl}$
167,1.92458,0,$T_{Phy\_Ctrl}$
168,1.5747200000000001,0,$T_{Phy\_Ctrl}$
169,1.46648,0,$T_{Phy\_Ctrl}$
170,1.29983,0,$T_{Phy\_Ctrl}$
171,1.34148,0,$T_{Phy\_Ctrl}$
172,1.5831,0,$T_{Phy\_Ctrl}$
173,1.34148,0,$T_{Phy\_Ctrl}$
174,0.84148,0,$T_{Phy\_Ctrl}$
175,1.34148,0,$T_{Phy\_Ctrl}$
176,1.34148,0,$T_{Phy\_Ctrl}$
177,1.34148,0,$T_{Phy\_Ctrl}$
178,2.11602,0,$T_{Phy\_Ctrl}$
179,1.4581,0,$T_{Phy\_Ctrl}$
180,1.4581,0,$T_{Phy\_Ctrl}$
181,2.11602,0,$T_{Phy\_Ctrl}$
182,1.29983,0,$T_{Phy\_Ctrl}$
183,0.7748400000000001,0,$T_{Phy\_Ctrl}$
184,1.29983,0,$T_{Phy\_Ctrl}$
185,2.11602,0,$T_{Phy\_Ctrl}$
186,1.5831,0,$T_{Phy\_Ctrl}$
187,1.29983,0,$T_{Phy\_Ctrl}$
188,0.84148,0,$T_{Phy\_Ctrl}$
189,1.34148,0,$T_{Phy\_Ctrl}$
190,1.5831,0,$T_{Phy\_Ctrl}$
191,0.9164500000000001,0,$T_{Phy\_Ctrl}$
192,1.29983,0,$T_{Phy\_Ctrl}$
193,1.46648,0,$T_{Phy\_Ctrl}$
194,0.84148,0,$T_{Phy\_Ctrl}$
195,1.29983,0,$T_{Phy\_Ctrl}$
196,1.46648,0,$T_{Phy\_Ctrl}$
197,1.34148,0,$T_{Phy\_Ctrl}$
198,0.84148,0,$T_{Phy\_Ctrl}$
199,0.79983,0,$T_{Phy\_Ctrl}$
200,1.4165,0,$T_{Phy\_Ctrl}$
201,0.84148,0,$T_{Phy\_Ctrl}$
202,1.41645,0,$T_{Phy\_Ctrl}$
203,1.4581,0,$T_{Phy\_Ctrl}$
204,1.4581,0,$T_{Phy\_Ctrl}$
205,1.34148,0,$T_{Phy\_Ctrl}$
206,1.4581,0,$T_{Phy\_Ctrl}$
207,1.34148,0,$T_{Phy\_Ctrl}$
208,1.34148,0,$T_{Phy\_Ctrl}$
209,1.46648,0,$T_{Phy\_Ctrl}$
210,1.42483,0,$T_{Phy\_Ctrl}$
211,1.41645,0,$T_{Phy\_Ctrl}$
212,1.34148,0,$T_{Phy\_Ctrl}$
213,1.34148,0,$T_{Phy\_Ctrl}$
214,1.34148,0,$T_{Phy\_Ctrl}$
215,1.40812,0,$T_{Phy\_Ctrl}$
216,1.46648,0,$T_{Phy\_Ctrl}$
217,1.41645,0,$T_{Phy\_Ctrl}$
218,1.29983,0,$T_{Phy\_Ctrl}$
219,1.59971,0,$T_{Phy\_Ctrl}$
220,0.84148,0,$T_{Phy\_Ctrl}$
221,1.5914300000000001,0,$T_{Phy\_Ctrl}$
222,0.79983,0,$T_{Phy\_Ctrl}$
223,0.84148,0,$T_{Phy\_Ctrl}$
224,1.4581,0,$T_{Phy\_Ctrl}$
225,2.11602,0,$T_{Phy\_Ctrl}$
226,1.5831,0,$T_{Phy\_Ctrl}$
227,0.9581000000000001,0,$T_{Phy\_Ctrl}$
228,0.9581000000000001,0,$T_{Phy\_Ctrl}$
229,1.34148,0,$T_{Phy\_Ctrl}$
230,1.34148,0,$T_{Phy\_Ctrl}$
231,1.46648,0,$T_{Phy\_Ctrl}$
232,1.5831,0,$T_{Phy\_Ctrl}$
233,0.9164500000000001,0,$T_{Phy\_Ctrl}$
234,1.5831,0,$T_{Phy\_Ctrl}$
235,1.9993999999999998,0,$T_{Phy\_Ctrl}$
236,1.29983,0,$T_{Phy\_Ctrl}$
237,1.54145,0,$T_{Phy\_Ctrl}$
238,1.5831,0,$T_{Phy\_Ctrl}$
239,2.11602,0,$T_{Phy\_Ctrl}$
240,0.84148,0,$T_{Phy\_Ctrl}$
241,1.34148,0,$T_{Phy\_Ctrl}$
242,1.34148,0,$T_{Phy\_Ctrl}$
243,1.34148,0,$T_{Phy\_Ctrl}$
244,1.5831,0,$T_{Phy\_Ctrl}$
245,0.7748400000000001,0,$T_{Phy\_Ctrl}$
246,1.9993999999999998,0,$T_{Phy\_Ctrl}$
247,0.9164500000000001,0,$T_{Phy\_Ctrl}$
248,0.84148,0,$T_{Phy\_Ctrl}$
249,1.46648,0,$T_{Phy\_Ctrl}$
250,1.34148,0,$T_{Phy\_Ctrl}$
251,1.4581,0,$T_{Phy\_Ctrl}$
252,1.3914600000000001,0,$T_{Phy\_Ctrl}$
253,2.07437,0,$T_{Phy\_Ctrl}$
254,1.29983,0,$T_{Phy\_Ctrl}$
255,1.46648,0,$T_{Phy\_Ctrl}$
256,1.46648,0,$T_{Phy\_Ctrl}$
257,1.34148,0,$T_{Phy\_Ctrl}$
258,1.46648,0,$T_{Phy\_Ctrl}$
259,1.29983,0,$T_{Phy\_Ctrl}$
260,1.5831,2,$T_{Phy\_Ctrl}$
261,1.4581,1,$T_{Phy\_Ctrl}$
262,1.57452,2,$T_{Phy\_Ctrl}$
263,0.8914599999999999,2,$T_{Phy\_Ctrl}$
264,1.05806,3,$T_{Phy\_Ctrl}$
265,1.4581,2,$T_{Phy\_Ctrl}$
266,1.1247,2,$T_{Phy\_Ctrl}$
267,1.53307,3,$T_{Phy\_Ctrl}$
268,1.5747200000000001,3,$T_{Phy\_Ctrl}$
269,1.41645,5,$T_{Phy\_Ctrl}$
270,1.57472,2,$T_{Phy\_Ctrl}$
271,1.34148,1,$T_{Phy\_Ctrl}$
272,1.2080000000000002,3,$T_{Phy\_Ctrl}$
273,1.29983,2,$T_{Phy\_Ctrl}$
274,1.41645,0,$T_{Phy\_Ctrl}$
275,1.46648,1,$T_{Phy\_Ctrl}$
276,1.5831,2,$T_{Phy\_Ctrl}$
277,1.42483,0,$T_{Phy\_Ctrl}$
278,1.4581,2,$T_{Phy\_Ctrl}$
279,1.6997200000000001,0,$T_{Phy\_Ctrl}$
280,0.84148,1,$T_{Phy\_Ctrl}$
281,1.6080400000000001,0,$T_{Phy\_Ctrl}$
282,1.41645,0,$T_{Phy\_Ctrl}$
283,1.29958,0,$T_{Phy\_Ctrl}$
284,1.4581,0,$T_{Phy\_Ctrl}$
285,1.46648,0,$T_{Phy\_Ctrl}$
286,1.6913900000000002,0,$T_{Phy\_Ctrl}$
287,1.39146,0,$T_{Phy\_Ctrl}$
288,2.14934,0,$T_{Phy\_Ctrl}$
289,1.5747200000000001,0,$T_{Phy\_Ctrl}$
290,1.41645,0,$T_{Phy\_Ctrl}$
291,1.29983,0,$T_{Phy\_Ctrl}$
292,1.46648,1,$T_{Phy\_Ctrl}$
293,0.9581000000000001,0,$T_{Phy\_Ctrl}$
294,1.34148,0,$T_{Phy\_Ctrl}$
295,0.84148,2,$T_{Phy\_Ctrl}$
296,1.34148,0,$T_{Phy\_Ctrl}$
297,1.34148,0,$T_{Phy\_Ctrl}$
298,1.54145,0,$T_{Phy\_Ctrl}$
299,1.34148,0,$T_{Phy\_Ctrl}$
300,1.34148,0,$T_{Phy\_Ctrl}$
301,1.4581,0,$T_{Phy\_Ctrl}$
302,1.34148,0,$T_{Phy\_Ctrl}$
303,1.34148,0,$T_{Phy\_Ctrl}$
304,1.4581,0,$T_{Phy\_Ctrl}$
305,0.91645,0,$T_{Phy\_Ctrl}$
306,1.34148,0,$T_{Phy\_Ctrl}$
307,1.34148,0,$T_{Phy\_Ctrl}$
308,0.84148,0,$T_{Phy\_Ctrl}$
309,1.34148,2,$T_{Phy\_Ctrl}$
310,1.30796,0,$T_{Phy\_Ctrl}$
311,1.46648,0,$T_{Phy\_Ctrl}$
312,1.54145,0,$T_{Phy\_Ctrl}$
313,0.7748400000000001,0,$T_{Phy\_Ctrl}$
314,1.34148,2,$T_{Phy\_Ctrl}$
315,1.54145,1,$T_{Phy\_Ctrl}$
316,1.1496899999999999,2,$T_{Phy\_Ctrl}$
317,1.29983,0,$T_{Phy\_Ctrl}$
318,1.8330000000000002,0,$T_{Phy\_Ctrl}$
319,1.32482,1,$T_{Phy\_Ctrl}$
320,1.34148,2,$T_{Phy\_Ctrl}$
321,1.34148,0,$T_{Phy\_Ctrl}$
322,1.69114,2,$T_{Phy\_Ctrl}$
323,2.0412,3,$T_{Phy\_Ctrl}$
324,2.35754,1,$T_{Phy\_Ctrl}$
325,1.49955,1,$T_{Phy\_Ctrl}$
326,1.99935,1,$T_{Phy\_Ctrl}$
327,1.34128,0,$T_{Phy\_Ctrl}$
328,2.54913,2,$T_{Phy\_Ctrl}$
329,2.5991600000000004,0,$T_{Phy\_Ctrl}$
330,1.34148,2,$T_{Phy\_Ctrl}$
331,1.4581,2,$T_{Phy\_Ctrl}$
332,1.53307,1,$T_{Phy\_Ctrl}$
333,1.41645,0,$T_{Phy\_Ctrl}$
334,1.34148,0,$T_{Phy\_Ctrl}$
335,1.29983,0,$T_{Phy\_Ctrl}$
336,1.26631,0,$T_{Phy\_Ctrl}$
337,0.84148,2,$T_{Phy\_Ctrl}$
338,1.36632,0,$T_{Phy\_Ctrl}$
339,1.6164200000000002,0,$T_{Phy\_Ctrl}$
340,1.46648,0,$T_{Phy\_Ctrl}$
341,1.65807,1,$T_{Phy\_Ctrl}$
342,1.5745200000000001,0,$T_{Phy\_Ctrl}$
343,1.44982,1,$T_{Phy\_Ctrl}$
344,1.4581,0,$T_{Phy\_Ctrl}$
345,1.34148,0,$T_{Phy\_Ctrl}$
346,1.32482,2,$T_{Phy\_Ctrl}$
347,1.5831,0,$T_{Phy\_Ctrl}$
348,0.84148,2,$T_{Phy\_Ctrl}$
349,1.54145,1,$T_{Phy\_Ctrl}$
350,1.1830100000000001,1,$T_{Phy\_Ctrl}$
351,1.40792,1,$T_{Phy\_Ctrl}$
