,MCS UL
206,8.5
207,9.0
208,9.0
209,19.0
210,7.0
211,9.5
212,9.5
213,9.5
214,9.5
215,9.5
216,9.5
217,9.5
218,8.5
219,19.0
220,9.5
221,19.0
222,19.0
223,19.0
224,9.5
225,20.0
226,20.0
227,19.0
228,21.0
229,20.0
230,21.0
231,18.0
232,20.0
233,23.0
234,16.142857142857142
235,10.5
236,16.5
237,20.0
238,7.0
239,13.333333333333334
240,20.0
241,13.333333333333334
242,14.0
243,21.0
244,17.428571428571427
245,13.5
246,9.8
247,20.0
248,10.5
249,13.333333333333334
250,11.0
251,21.33333333333333
252,14.666666666666666
253,16.25
254,8.666666666666666
255,17.8
256,16.0
257,16.25
258,15.333333333333334
259,14.333333333333334
260,15.333333333333334
261,19.0
262,22.33333333333333
263,23.33333333333333
264,11.5
265,15.333333333333334
266,19.6
267,16.0
268,12.0
269,15.333333333333334
270,11.0
271,16.0
272,24.0
273,15.333333333333334
274,18.25
275,11.5
276,11.5
277,15.333333333333334
278,14.666666666666666
279,17.75
280,17.333333333333332
281,12.5
282,16.666666666666668
283,23.6
284,12.666666666666666
285,23.0
286,15.333333333333334
287,11.5
288,23.666666666666668
289,16.0
290,15.666666666666666
291,16.0
292,15.333333333333334
293,17.0
294,12.0
295,14.2
296,20.83333333333333
297,12.0
298,16.666666666666668
299,22.0
300,22.0
301,14.666666666666666
302,16.0
303,24.0
304,12.5
305,18.75
306,23.0
307,15.333333333333334
308,18.0
309,14.666666666666666
310,11.0
311,21.0
312,14.666666666666666
313,13.333333333333334
314,17.0
315,21.666666666666668
316,17.5
317,15.0
318,15.333333333333334
319,15.333333333333334
320,14.666666666666666
321,16.0
322,18.25
323,15.333333333333334
324,7.666666666666667
325,11.0
326,19.0
327,9.6
328,20.5
329,13.0
330,23.0
331,27.0
332,26.0
333,27.0
334,27.0
335,20.0
336,18.0
337,27.0
338,18.0
339,17.333333333333332
340,13.5
341,13.5
342,26.0
343,20.25
344,27.0
345,25.0
346,27.0
347,19.75
348,12.5
349,24.5
350,13.333333333333334
351,7.0
352,10.5
353,22.0
354,14.0
355,20.0
356,23.666666666666668
357,23.0
358,23.0
359,25.5
360,15.333333333333334
361,15.333333333333334
362,23.0
363,15.333333333333334
