,MCS UL,WB CQI_bins
101,0.2142857142857142,8
102,15.181818181818182,11
103,11.083333333333334,12
104,9.4,12
105,13.142857142857142,11
106,11.454545454545457,10
107,9.615384615384617,10
108,14.791666666666666,10
109,11.692307692307692,10
110,5.625,9
111,10.6,12
112,7.736842105263157,10
113,13.214285714285714,10
114,14.5,11
115,8.571428571428571,12
116,8.5,10
117,1.1428571428571428,11
118,10.0,12
119,10.875,12
120,16.272727272727273,11
121,11.0,9
122,16.833333333333332,8
123,8.428571428571429,10
124,11.0,10
125,12.0,12
126,3.7142857142857135,10
127,3.2777777777777777,9
128,2.0,8
129,7.0,7
130,11.933333333333334,12
131,16.6,11
132,6.142857142857143,8
133,3.3125,9
134,14.4,11
135,10.333333333333334,10
136,31.0,12
137,13.8,10
138,12.2,8
139,4.75,10
140,10.1,10
141,9.666666666666666,8
142,9.625,8
143,2.6666666666666665,7
144,12.0,10
145,2.333333333333333,11
146,12.333333333333334,8
147,0.0,8
148,17.5,8
149,11.75,10
150,9.6,10
151,8.222222222222221,9
152,11.8125,11
153,11.818181818181818,10
154,10.88888888888889,10
155,5.846153846153846,10
156,6.823529411764706,10
157,6.647058823529412,10
158,6.642857142857143,10
159,7.666666666666667,12
160,12.588235294117649,12
161,8.461538461538462,12
162,16.5,12
163,11.0,12
164,9.466666666666669,12
165,4.6,12
166,,9
167,4.9,10
168,6.333333333333333,8
169,2.0,9
170,8.181818181818182,9
171,2.0,8
172,0.6666666666666666,9
173,1.0,7
174,0.5,8
175,0.625,9
176,1.0,9
177,16.4,10
178,1.8,9
179,2.2,12
180,1.0,5
181,12.5625,9
182,4.863636363636363,10
183,5.555555555555555,9
184,11.25,10
185,12.12,11
186,9.523809523809524,10
187,2.357142857142857,7
188,14.833333333333334,8
189,6.0,9
190,5.333333333333333,10
191,20.5,9
192,12.375,9
193,15.235294117647058,9
194,2.5,8
195,,9
196,3.5,9
197,0.0,10
198,6.8,10
199,16.333333333333332,12
200,6.333333333333333,11
201,19.0,11
202,9.428571428571429,12
203,10.823529411764708,10
204,6.3,9
205,7.277777777777778,9
206,12.857142857142858,11
207,12.636363636363637,11
208,19.923076923076923,11
209,15.333333333333334,12
210,23.142857142857142,12
211,14.5,11
212,18.357142857142858,11
213,21.0,10
214,3.888888888888889,11
215,0.0,8
216,7.833333333333333,9
217,9.818181818181818,10
218,2.0,10
219,3.2777777777777777,9
220,4.2,9
221,6.333333333333333,10
222,7.9375,11
223,4.266666666666667,9
224,2.75,9
225,21.5,9
226,16.666666666666668,9
227,13.454545454545457,10
228,11.692307692307692,12
